iter	Logloss
0	0.3264513269
1	0.248599908
2	0.2156736787
3	0.1921432213
4	0.1842346432
5	0.1822822778
6	0.1789788199
7	0.1766691676
8	0.1752759382
9	0.1748936346
10	0.1731105932
11	0.1725195714
12	0.172224434
13	0.1717537688
14	0.1715640793
15	0.1713846854
16	0.171274631
17	0.1702098134
18	0.1697201369
19	0.1691280545
20	0.1683868072
21	0.1680916916
22	0.1674659434
23	0.1670708314
24	0.1668797042
25	0.1667931108
26	0.1666914043
27	0.1659591106
28	0.1658333542
29	0.1654897482
30	0.1652309551
31	0.1650142882
32	0.16416132
33	0.1640274133
34	0.1637974072
35	0.1636703864
36	0.1634347958
37	0.1632057244
38	0.1629364024
39	0.1626205846
40	0.1622999806
41	0.1620446309
42	0.1618024263
43	0.1616565809
44	0.1611849753
45	0.1609428472
46	0.1608000995
47	0.1605776426
48	0.1602948049
49	0.1600599928
50	0.1598067868
51	0.159549192
52	0.1594367883
53	0.1591901902
54	0.1582599904
55	0.1579645682
56	0.1578479597
57	0.1574336867
58	0.1572117461
59	0.1569092968
60	0.1566106843
61	0.1562692787
62	0.1561800033
63	0.15584894
64	0.1557934992
65	0.1554891409
66	0.1552335744
67	0.1551713441
68	0.1549773438
69	0.1547090476
70	0.154499998
71	0.1543808908
72	0.1541954781
73	0.1540778172
74	0.1538190984
75	0.1537312513
76	0.153630542
77	0.1534825104
78	0.1531548456
79	0.1529467634
80	0.1526952021
81	0.1524123479
82	0.1523050183
83	0.1521143359
84	0.151782997
85	0.1516603605
86	0.1513898611
87	0.1513278793
88	0.1512488781
89	0.1509123208
90	0.1501430753
91	0.1497486547
92	0.1496697696
93	0.1495155953
94	0.1494961448
95	0.1493495303
96	0.1492493653
97	0.1491382108
98	0.1489228789
99	0.148524209
